"minid","mineral","locality","locid","cid","excitation","activators","dataname"
239,"Calcite","Unknown",,3,"365nm LED","Mn<sup>2+</sup>","239-calcite-365led"
242,"Calcite","Unknown",,3,"275nm LED","Organic?","242-calcite-275led"
252,"Blue Sodalite","Unknown",,3,"365nm LED","S<sub>2</sub><sup>2-</sup>","252-sodalite-365led"
253,"Fuchsia Agate","Unknown",,3,"365nm LED","Dye","253-fuchsia-agate-365led"
258,"Quartz","La Sassa, Tuscany, Italy",107392,3,"275nm LED","PAH, REE, UO<sub>2</sub><sup>2+</sup>","258-quartz-eye-275led"
258,"Quartz","La Sassa, Tuscany, Italy",107392,3,"275nm LED","PAH, REE, UO<sub>2</sub><sup>2+</sup>","258-quartz-mass-275led"
262,"Nosean","In den Dellen quarries, Mendig, Germany",71520,3,"365nm LED","S<sub>2</sub><sup>2-</sup>","262-nosean-365led"
262,"Nosean","In den Dellen quarries, Mendig, Germany",71520,3,"405nm Laser","S<sub>2</sub><sup>2-</sup>","262-nosean-405laser"
262,"Sanidine","In den Dellen quarries, Mendig, Germany",71520,2,"365nm LED","??","262-sanidine-365led"
263,"Aragonite","Boccheggiano Mines, Tuscany, Italy",54353,3,"275nm LED","Sm<sup>3+</sup>, Humic-acid","263-aragonite-275led"
263,"Aragonite","Boccheggiano Mines, Tuscany, Italy",54353,3,"365nm LED","Sm<sup>3+</sup>","263-aragonite-365led"
263,"Aragonite","Boccheggiano Mines, Tuscany, Italy",54353,3,"405nm Laser","Sm<sup>3+</sup>","263-aragonite-405laser"
283,"Hourglass Gypsum","Chodziez County, Greater Poland Voivodeship, Poland",62646,3,"275nm LED","??","283-gypsum-275led"
284,"Aragonite","Vitošov quarry, Šumperk District, Czech Republic",145723,3,"275nm LED","Organic","284-aragonite-275led"
292,"Adamite","Ojuela Mine, Mapimí, Durango, Mexico",2318,3,"365nm LED","UO<sub>2</sub><sup>2+</sup>","292-adamite-365led"
292,"Calcite","Ojuela Mine, Mapimí, Durango, Mexico",2318,3,"365nm LED","??","292-calcite-365led"
293,"Esperite","Franklin Mine, New Jersey, USA",8541,3,"254nm Hg","Mn<sup>2+</sup>","293-esperite-254hg"
295,"Willemite","Franklin Mine, New Jersey, USA",8541,3,"254nm Hg","Mn<sup>2+</sup>","295-willemite-254hg"
295,"Willemite","Franklin Mine, New Jersey, USA",8541,3,"365nm LED","Mn<sup>2+</sup>","295-willemite-365led"
299,"Clinohedrite","Franklin Mine, New Jersey, USA",8541,3,"254nm Hg","Mn<sup>2+</sup>","299-clinohedrite-254hg"
